ИНН,Название,Тип (ЮЛ/ИП),Статус,"Выручка 2023, руб","Выручка 2024, руб","Выручка 2025, руб",Рост %,Флаг роста,"Прибыль 2025, руб",Гендир,Должность,ОКВЭД основной,ОКВЭД доп,Телефон,Email,Сайт,Источник (1С/Битрикс),Сумма продаж у нас,Дата последней продажи
7701400458,"ООО ""АВАНТАЖ ПРОДЖЕКТ""",ЮЛ,Действующая,218393000.0,245453000.0,180294000.0,-26.5,падает,19785000.0,Федорова Лилия Тагировна,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР,90.02,,,,,1С+Компании,,
6679078914,Нью Сервис,ЮЛ,Действующая,16896000.0,45176000.0,33164000.0,-26.6,падает,5839000.0,Светлов Андрей Геннадьевич,ДИРЕКТОР,56.10,,,,,1С+Компании,,
6670290881,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАРАВАН""",ЮЛ,Действующая,11423000.0,19453000.0,14277000.0,-26.6,падает,787000.0,Казанцева Любовь Анатольевна,ДИРЕКТОР,73.1,,,,,1С,,
7702396204,"ООО ""СИТИ СТИЛЬ""",ЮЛ,Действующая,26673000.0,44036000.0,32327000.0,-26.6,падает,337000.0,Аракелян Георгий Станиславович,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР,73.11,,,,,1С+Компании,19100.0,2020/10/26 22:01:00
5055003465,"ООО ""ЗЕЛЕНКА КОСМЕТИКС""",ЮЛ,Действующая,133035000.0,93167000.0,68331000.0,-26.7,падает,2469000.0,Бессонов Александр Владимирович,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР,20.41,,,,,Контакты,,
1502019977,"ООО ""СТЭЙТОН""",ЮЛ,Действующая,149336000.0,127741000.0,93572000.0,-26.7,падает,5027000.0,Туганов Заурбек Муратбекович,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР,47.11,,,,,Компании,,
7707634445,Мосжилкомплекс,ЮЛ,Действующая,62346000.0,41618000.0,30483000.0,-26.8,падает,-260039000.0,Пасько Анатолий Николаевич,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР,68.20.29,,,,,1С+Компании,,
7328081645,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЗАВОЛЖСКИЙ МК""",ЮЛ,Действующая,846089000.0,908146000.0,664533000.0,-26.8,падает,13994000.0,Азиков Сергей Олегович,ДИРЕКТОР,10.13,,,,,1С,,
9728009887,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРЕМЬЕР""",ЮЛ,Действующая,64251000.0,105403000.0,77190000.0,-26.8,падает,1488000.0,Матвеев Александр Сергеевич,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР,46.65,,,,,1С,,
7734348027,"ООО ""БИОФАРМАХОЛДИНГ""",ЮЛ,Действующая,482409000.0,1319179000.0,966296000.0,-26.8,падает,213679000.0,Ненюков Александр Кириллович,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР,21.10,,,,,Компании,,
7704240107,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РЕСТАВРАЦИЯ-Н+""",ЮЛ,Банкротство,260596000.0,185729000.0,135756000.0,-26.9,падает,-237805000.0,Суворов Михаил Владимирович,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР,68.20.2,,,,,1С,,
6316284712,"ООО ""ЕДАТЕКА""",ЮЛ,Действующая,2811000.0,153285000.0,112080000.0,-26.9,падает,7834000.0,Шкрабо Евгений Николаевич,ДИРЕКТОР,56.10,,,,,1С,,
2320219973,ДимчиГрупп,ЮЛ,Действующая,25388000.0,38469000.0,28084000.0,-27.0,падает,685000.0,Цыкалов Сергей Сергеевич,ДИРЕКТОР,46.73,,,,,1С+Компании,,
7725003763,"ЖСК ""КИРОВЕЦ - 1""",ЮЛ,Действующая,,63000.0,46000.0,-27.0,падает,105000.0,Янсюкевич Татьяна Александровна,ПРЕДСЕДАТЕЛЬ,68.32.1,,,,,1С+Компании+Контакты,,
5405458373,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АМТ-ГРУПП""",ЮЛ,Действующая,2151051000.0,3903711000.0,2849079000.0,-27.0,падает,117845000.0,Аверкин Александр Георгиевич,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР,46.73.1,,,,,1С,,
6319095791,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АСВД""",ЮЛ,Действующая,278740000.0,348623000.0,254483000.0,-27.0,падает,66706000.0,Яшин Владимир Федорович,ДИРЕКТОР,77.39.12,,,,,1С,,
5032293461,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТИРОТЕК""",ЮЛ,Действующая,101306000.0,86973000.0,63491000.0,-27.0,падает,-903000.0,Попова Маргарита Александровна,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР,46.69.9,,,,,1С,,
